X;Y;Z;ABL
431651;9444361;1112.46;56.121
431200;9445329;1157.35;59.709
432086;9445846;1115.69;56.465
432078;9446806;1142.00;55.780
431618;9447233;1119.07;55.949
431454;9447881;1005.04;54.147
432455;9447142;1126.00;51.681
432635;9447635;1129.97;50.294
433037;9445945;1094.71;51.193
433563;9445075;910.30;50.417
434145;9444214;819.72;51.345
435827;9444411;786.91;47.583
436828;9444657;803.17;50.102
436951;9446568;894.46;49.846
437459;9447397;1025.13;54.296
437468;9445362;793.60;53.317
438370;9444123;910.42;53.033
439223;9444616;920.04;53.895
438690;9448045;1008.85;53.428
439256;9448053;945.07;52.572
439732;9447914;903.56;51.292
440290;9447832;871.59;50.087
440823;9447717;848.11;51.591
441200;9447282;757.15;52.304
440290;9445108;821.91;53.764
440495;9446076;761.08;53.068
441594;9446347;735.42;50.123
442611;9446437;724.00;49.847
443505;9447126;745.98;51.756
443456;9445543;758.94;54.957
444121;9444632;847.00;56.002
444162;9444041;881.87;55.876
446221;9446478;944.61;55.145
445917;9447471;821.00;52.954
445187;9448201;815.60;52.940
443735;9448078;760.64;51.951
445253;9449062;764.48;52.760
444646;9449087;826.05;53.124
443825;9449251;866.38;51.764
442948;9448783;740.26;50.485
442628;9449735;782.07;47.937
443391;9450531;775.80;49.871
444391;9450145;806.13;50.605
444908;9451056;733.54;48.359
445540;9451810;714.60;47.702
443932;9451425;717.50;48.019
443317;9451737;816.05;49.858
443054;9451999;770.52;50.278
442767;9451630;845.81;50.722
442242;9451581;864.79;51.306
441750;9451745;917.37;52.263
441233;9451950;1013.97;53.432
441151;9451417;908.06;52.952
441446;9450842;884.79;51.254
440897;9450629;918.85;51.737
440806;9450112;806.89;50.844
440716;9449579;759.98;50.515
440536;9449070;803.86;50.702
440544;9448537;804.45;50.738
440938;9448209;832.60;51.103
440060;9451351;1072.47;54.280
438854;9451687;1108.21;53.383
439084;9451195;1057.05;53.368
438165;9451769;1107.94;52.221
438485;9451310;1048.71;52.583
438838;9450892;994.90;52.887
439010;9450424;1015.04;52.735
439453;9450038;955.49;52.385
439609;9449571;953.14;51.948
439256;9449202;976.23;52.124
438739;9449144;984.39;52.609
438263;9449357;1002.27;52.825
437525;9449554;1038.70;52.960
436967;9450465;1071.19;52.023
436212;9451080;1121.22;49.244
435548;9451835;1098.38;51.929
436942;9451917;1138.45;49.476
438329;9448389;1002.04;53.463
437599;9448545;1041.00;53.730
436737;9448110;1078.00;54.049
435950;9448398;1074.74;53.496
435236;9448660;1089.31;53.578
434662;9451655;987.30;53.813
434637;9448537;1106.09;53.847
434047;9448398;1133.86;53.669
433554;9448512;1132.03;53.773
433005;9448537;1161.09;53.187
432512;9448709;1174.43;53.329
432644;9448135;1143.22;51.754
431192;9448414;926.07;53.682
430749;9448890;868.94;52.577
430142;9449243;829.27;51.029
430109;9450038;825.30;48.725
430084;9451679;781.85;44.409
430297;9452048;791.83;43.420
433817;9452229;825.43;52.327
433308;9452278;811.25;51.078
432947;9452762;782.00;48.118
432463;9452893;784.00;44.397
431987;9452696;780.21;42.598
431741;9452877;733.92;41.000
431495;9452491;727.65;42.475
430946;9452401;725.80;42.444
430453;9452557;765.32;42.068
433021;9453919;788.92;44.382
432570;9454263;787.57;42.035
432800;9454788;790.00;42.253
432923;9455223;787.14;42.205
432988;9455855;749.43;42.207
435105;9455986;848.54;47.856
434670;9455674;1005.39;47.366
434481;9455190;1015.67;47.758
435507;9455592;966.48;50.040
435991;9455568;1017.89;51.556
434654;9454706;1060.88;49.430
434809;9454181;1078.30;51.312
435023;9453697;1052.20;53.300
435179;9453189;1124.91;54.326
435605;9452942;1126.23;54.632
436106;9452713;1155.40;54.333
436573;9452393;1158.51;53.155
437328;9452245;1182.98;51.785
437640;9452680;1271.27;53.141
437902;9452188;1208.79;52.350
437344;9455896;1212.40;54.743
438345;9454887;1211.84;56.513
438559;9455305;1176.44;56.432
439043;9455461;1100.91;55.633
439486;9455559;988.57;54.315
440322;9455642;854.10;51.371
441077;9456027;718.06;48.512
441405;9455428;1026.25;49.832
442217;9455633;821.66;50.082
440864;9455125;933.56;50.746
439494;9452573;1249.73;54.526
440306;9452869;1251.93;54.428
439929;9452245;1085.47;55.076
441602;9452237;1030.99;52.742
444449;9452278;686.69;45.713
445179;9452926;560.48;46.436
442964;9455904;726.90;46.892
443202;9455256;826.81;48.383
443891;9455445;716.80;46.543
444875;9455674;558.85;44.626
447205;9454715;533.74;48.414
446730;9453738;620.43;47.776
446106;9452778;644.45;47.775
448042;9455346;495.65;51.094
448305;9456314;443.55;52.626
448682;9457241;399.59;55.006
448428;9457668;392.84;54.868
449191;9458168;383.73;54.348
450339;9459866;355.50;63.577
447468;9459448;358.12;54.877
447435;9457085;428.37;48.544
446598;9457668;433.05;46.131
446278;9459087;414.89;48.137
444990;9459809;329.40;46.687
444646;9459087;421.23;44.517
446008;9456872;349.17;44.300
445622;9456503;441.66;44.042
445409;9456897;450.11;43.807
445261;9456339;556.51;43.994
444047;9456093;694.05;44.702
443989;9458726;459.06;42.794
443407;9458242;472.64;39.952
442857;9457709;586.94;39.573
442316;9457126;573.70;40.852
441561;9456634;627.22;45.168
441865;9457963;894.16;40.885
441988;9458505;809.96;42.812
441881;9459005;689.80;44.124
442127;9459489;665.59;44.059
442193;9459990;592.87;44.249
438821;9456175;1287.80;55.169
438280;9456175;1339.96;55.256
437911;9456470;1322.32;53.567
438042;9456905;991.40;51.790
438542;9457799;976.91;48.044
438321;9458308;995.88;46.122
438444;9458734;859.52;45.436
438370;9459268;804.25;44.556
438501;9459735;798.93;44.457
435441;9459629;718.91;39.616
435663;9459169;744.56;40.069
435786;9458669;795.21;41.360
435884;9458160;906.61;42.854
436286;9457848;935.61;44.483
436664;9457487;1011.52;46.639
437041;9456823;1205.48;50.243
436787;9456052;1096.36;52.631
436270;9456142;955.80;50.702
436138;9456880;988.57;47.733
436171;9457364;910.13;46.007
435638;9457069;877.52;45.900
435203;9457028;736.71;45.209
434818;9456634;876.01;45.605
435088;9457627;787.48;43.348
434235;9456610;855.74;44.832
433768;9456503;781.32;44.178
433431;9456175;751.19;43.481
432882;9456372;751.06;42.346
432750;9456938;766.49;43.036
432635;9457487;768.06;44.121
432037;9457504;716.57;43.280
431741;9457963;558.00;44.013
432135;9458652;589.22;47.218
432537;9459317;610.27;48.058
432718;9460047;552.81;47.013
431356;9460474;826.57;46.448
439034;9460662;631.85;45.285
438879;9460129;741.83;45.019
442283;9460449;561.46;44.576
442349;9460990;505.10;45.578
442595;9461376;516.34;47.066
442997;9461819;405.56;49.190
443464;9462057;403.39;51.349
443711;9462442;362.99;53.608
443448;9462894;334.38;54.731
443268;9463369;310.86;56.499
442701;9463345;366.98;55.775
442201;9463369;385.96;55.635
445376;9461835;281.48;56.972
444785;9460441;303.29;48.798
445318;9460490;256.92;49.411
445573;9460876;321.02;51.974
446426;9460277;368.42;50.956
446213;9460113;351.19;49.595
447911;9460318;328.78;58.220
448280;9461253;290.18;60.368
448575;9462221;280.22;58.218
447935;9462902;250.46;57.812
448854;9463222;264.41;54.602
448329;9463919;234.95;56.380
446967;9462869;252.00;63.053
445565;9462771;238.08;61.211
449831;9463312;237.32;52.959
450799;9463632;226.94;51.296
450872;9460744;324.34;60.835
451258;9461778;280.00;56.819
451923;9462582;288.00;53.010
451652;9463058;286.82;50.822
446984;9462861;251.76;62.991
